"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"BA2046R",0.144300903196004,0,0.027687830048022,0.118292146293534,0,0.386574695058428,0.027122863233947,0,0,0,0.140584028275974,0,0.107151733754841,0,0,0,0,0.00148195291633037,0.013842103280282,0.0210187645146677,0.0119429794279698,0,0.00900000000000001,0.251887354156388,1.00203772020415
"BA2972R",0,0.161242140371369,0.0340684026030167,0.0428957055855363,0,0.180720948100936,0.00274953336824759,0,0,0,0.0852539874483805,0,0.223105667762477,0,0,0,0,0,0.22994764687835,0.00343416135954005,0.0365818065221471,0,0.004,0.344372678905459,0.941926955471082
"BA2851R",0.0245858670118626,0,0.107524994424844,0,0,0.195793431884038,0,0,0,0,0.10008544367956,0,0.3149038095136,0.0353120244763743,0.0071302684464217,0.0198500242864793,0,0,0,0.0552550644323546,0.0960126587048785,0.0435464131395866,0.04,0.162919735348936,1.02409412263528
"BA2587R",0.00456455567688656,0.00528323698747888,0.0224578818022487,0.00814791904015563,0,0.141311337394088,0,0,0.00160918552645705,0,0.0533218731356807,0,0.506208776514008,0,0,0.0208021791672959,0,0.00149618796591681,0.118917548638075,0,0.0947786939516631,0.0211006242000463,0.012,0.223346016618759,1.02186874315826
"BA2461R",0.0065330555481137,0,0,0.0959668221498833,0,0.21325558339798,0.0286473420517549,0,0,0,0.0965909361154284,0,0.216513546512073,0.0568356115199327,0.00129697211534758,0,0,0,0,0.00461243679936912,0.0441676715410856,0.235580022249032,0.00800000000000001,0.273291428782089,1.00287727977967
"BA2024R",0.0538281542396379,0,0,0.0250972353768634,0,0.0834233336551189,0.0214575273609357,0.00519080061479506,0,0,0.104103346941496,0,0.232673717085362,0.0476792512894593,0.000723432190075963,0,0,0,0.0228601988241924,0,0.0603659654147682,0.342597037007296,0.00700000000000001,0.281050944914127,1.02640170393704
"BA2426R",0.00545755310224274,0.0281129772385886,0.00408994596625775,0.0239564536096902,0,0.179014775425396,0,0.0172432894526712,0.00148199437566452,0,0.0586367688706103,0,0.396138610588432,0,0.00416306376606163,0.0687636541845651,0.012045422897622,0,0.058430069075955,0.0127997044359634,0.129665717010279,0,0.00900000000000001,0.250855030531304,0.992531897494605
"BA3004R",0.0217227095601417,0,0.065534339357249,0.051646255276095,0,0.142370699489771,0.00786326588826519,0,0,0,0.137392353158353,0,0.0472990243947395,0.00970148039884332,0,0,0,0,0.325364691149288,0.00442034819754579,0,0.186684833129708,0.003,0.381426022315582,0.932889601440782
"BA2662R",0.00840418380442733,0.0123747160704729,0,0,0,0.0481672662837712,0,0,0.00161267139355547,0,0.0535765607916086,0,0.685402337244861,0.00101983888826039,0.00252142105755882,0.0204465801661699,0,0,0.0273016062858735,0,0.105117327000977,0.0340554910124635,0.013,0.21939790330652,1.07218217267332
"BA2674R",0.0837810541013329,0,0.192179266766521,0.0156988921371223,0,0.147002221379521,0.0107394576209039,0,0,0,0.108964767811518,0,0.302787405355739,0,0,0.000493994569163362,0,0,0,0.0103395967028801,0,0.128013343555299,0.005,0.327267592239302,0.953735338336168
"BA2981R",0.0875099430712971,0,0.0358727122205086,0.00832555043265338,0,0.0829679175920006,0,0,0,0,0.0449664826275112,0,0.480739365595056,0,0,0.002250236740068,0,0,0.0613930592199548,0.0010875857143855,0.174459355570136,0.0204277912164293,0.083,0.116334392999318,1.07492404252865
"BA2539R",0.00694407560245828,0,0,0,0,0.0669807143158688,0.00557337524180428,0.017563707457353,0,0.00563483102970143,0.0898030949444001,0,0.36031541767929,0.066555467387083,0,0,0,0.000804382628456312,0,0.0117670035965543,0.074430342535349,0.293627587581682,0.004,0.348558156549165,0.990914734292012
"BA2618R",0.029577586098234,0,0.0227868641299646,0.0231391011910857,0,0.0105616593616683,0.0117429407310872,0,0,0,0.0775931997673085,0,0.577046592096486,0,0,0,0,0,0.017043839890396,0,0.0887110298406759,0.141797186893094,0.135,0.0892773756451013,1.14669705185138
"BA2846R",0.00630431470465247,0.00538730852903246,0.0173785630547855,0.049369041558164,0,0.115151124496483,0,0,0,0,0.128353955171565,0,0.150742674073262,0,0.00669893919073076,0.0313776480824293,0,0,0.304562353792758,0.0114923711322288,0.170961653827435,0.00222005238647403,0.006,0.297794364364812,0.97203900182584
"BA2885R",0,0.00362221071656223,0,0.00542514305936063,0,0.0279216746505709,0,0,0.00781422080220674,0,0.0322959788674692,0,0.835631710023796,0.0167033034845058,0,0.0240842134080876,0,0,0.0270112238483203,0,0.0151649988951328,0.00432532224398807,0.002,0.391374104516975,0.986160458777973
"BA2399R",0.0773581720928132,0,0.32981472920342,0.0765777336041926,0,0.0750908709413615,0.00992686226227547,0.0140903199454088,0,0,0,0.0243054080746562,0.0183743941127882,0,0.00162926297652807,0.0308337414644196,0,0,0.0913801107281449,0,0.250618394593992,0,0.00800000000000001,0.264796005790555,0.971875493913985
"BA2174R",0.0417430262613272,0,0.0547096496027175,0,0,0.0467376845074763,0.0300830003603606,0,0,0,0.0845339374195393,0,0.382166959344071,0.00271237727533572,0,0.00620153140003893,0,0,0.0194110781321175,0,0.101213642961949,0.230487112735067,0.002,0.398561447088405,0.940179257735741
"BA3001R",0.0412141997549543,0,0.379249515739901,0.0172732138630272,0,0.0484908927560601,0,0,0,0,0.0602066935091673,0,0.0457942327516303,0,0,0,0,0,0.133126678042584,0,0.274011807422821,0.000632766159854485,0.00800000000000001,0.273962138471368,0.971336180428978
"BA3040R",0,0,0.0215806667151513,0.036967329814192,0,0.0952847542698562,0,0.00864732950409756,0.00366664083191055,0,0.0812331675891264,0,0.311849599186345,0.0874362432361823,0,0.0228928828042522,0,0,0.128359194590649,0,0.178946775089363,0.0231354163688747,0.023,0.188862899502864,1.01950746128067
"BA2724R",0.0399561765855241,0.000900580484929907,0,0.0158663158767793,0,0.0651296576501613,0,0,0.00862195225167182,0,0.0860237964776753,0,0.353794685194089,0.0405731426068766,0.00302760099705585,0.0661145096839326,0,0,0.018996500522458,0,0.236121186561754,0.0648738951070928,0.013,0.221701742695017,1.02054240530763
