"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","te_class","status","neglog10p"
"LINE:L1:L1P3",5614.78508702894,0.126482166482846,0.0741605041904697,1.70551923646577,0.0880976277237257,0.409715672467658,"LINE","NS",1.05503578603025
"LINE:L1:L1P3b",66.4872042294094,0.108159554216944,0.103223148052131,1.04782266631046,0.294720317403246,0.652538535577828,"LINE","NS",0.530589923763361
"LINE:L1:L1P4",3402.3320676728,0.0741469113645294,0.0619477917604374,1.19692581861946,0.231335469784948,0.594844006233017,"LINE","NS",0.635757773408053
"LINE:L1:L1P4a",482.780546634719,0.0261199567394578,0.106765455052687,0.244648015845275,0.806728982264136,0.934782769589432,"LINE","NS",0.0932723404646357
"LINE:L1:L1P4b",43.8396483587201,-0.0270334285649687,0.171604599737801,-0.157533239821507,0.874824613340421,0.958988277177248,"LINE","NS",0.0580790065128296
"LINE:L1:L1P4c",155.112920621523,0.16576054692997,0.205412903633421,0.806962678575371,0.419687985598573,0.742947030024078,"LINE","NS",0.377073463151929
"LINE:L1:L1P4d",32.0458179522971,0.165073323134051,0.122108961030599,1.35185265471783,0.176422455898194,0.536976033205756,"LINE","NS",0.753446136596633
"LINE:L1:L1P4e",97.8007802053121,0.103095382235789,0.0935738928656148,1.10175369516632,0.270568766182553,0.630007597669258,"LINE","NS",0.567722338771185
"LINE:L1:L1P5",347.211510155163,0.0547268530534558,0.0926673465069624,0.590573218251631,0.55480641385738,0.822993461968598,"LINE","NS",0.255858526894414
"LINE:L1:L1PA10",21572.0511322306,0.130281397503548,0.0936343158043712,1.391385160284,0.164108662165744,0.52208287864439,"LINE","NS",0.784868494928021
"LINE:L1:L1PA11",8799.931459666,0.0641032207253242,0.0912499549929652,0.702501395537852,0.482366531720522,0.780487528488907,"LINE","NS",0.316622832694879
"LINE:L1:L1PA12",7789.33962071532,0.101082935813711,0.124659044770109,0.81087526380556,0.417437306897594,0.741633077421371,"LINE","NS",0.379408740091514
"LINE:L1:L1PA13",13172.9612343038,0.122135840078278,0.0723497418505597,1.68813097261014,0.0913860900945016,0.415462960417303,"LINE","NS",1.03911990333542
"LINE:L1:L1PA14",5036.19089500936,0.128977310228667,0.102094316566526,1.26331528106781,0.206475896665835,0.571560117534236,"LINE","NS",0.685130639194006
"LINE:L1:L1PA15",12223.8214358713,0.166445579417907,0.0760347894367185,2.18907135340244,0.0285916542654186,0.251339307189863,"LINE","NS",1.54376071636084
"LINE:L1:L1PA15-16",924.655565911462,0.166878510033462,0.107758210536792,1.54863846756702,0.121468653266275,0.464880959703272,"LINE","NS",0.915535783546648
"LINE:L1:L1PA16",16690.9583628673,0.113529924332273,0.0838962907506337,1.3532174464032,0.1759861732693,0.536686485066022,"LINE","NS",0.75452145212183
"LINE:L1:L1PA17",5824.37740057145,0.0856713760612373,0.0814083159765576,1.05236639566291,0.292631480110699,0.651276027425843,"LINE","NS",0.533678956054283
"LINE:L1:L1PA2",35897.3430303859,0.181718100560322,0.0965737670253574,1.88165074385685,0.0598834516110009,0.348286125165034,"LINE","NS",1.22269317538961
"LINE:L1:L1PA3",61930.6990230787,0.181324745072231,0.0941340252154931,1.92624021608701,0.0540743864180534,0.332944790709279,"LINE","NS",1.26700839979947
"LINE:L1:L1PA4",43220.6417219849,0.113460837992259,0.0871683424356869,1.30162894947751,0.193043258582999,0.556058454822674,"LINE","NS",0.714345360117759
"LINE:L1:L1PA5",44910.0266435867,0.0901086495758564,0.093057182261999,0.968314829500842,0.332887160802199,0.682507615069168,"LINE","NS",0.477702954919291
"LINE:L1:L1PA6",25730.9785217602,0.0873740290586972,0.0804932473869084,1.08548271929836,0.277707913292098,0.636770249844707,"LINE","NS",0.556411744844171
"LINE:L1:L1PA7",31925.3841374948,0.0945454919888086,0.0873337056409917,1.0825773542401,0.278996063441541,0.637669371106798,"LINE","NS",0.554401924460013
